2022-07-09 13:17:45.156362{'Count': 63, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 13:38:35.149841{'Count': 64, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 13:59:23.627951{'Count': 65, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 14:20:10.188520{'Count': 66, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 14:40:56.244386{'Count': 67, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 15:01:43.534275{'Count': 68, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 15:22:31.878496{'Count': 69, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 15:43:18.104660{'Count': 70, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 16:04:03.813137{'Count': 71, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 16:24:50.845106{'Count': 72, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 16:45:39.236564{'Count': 73, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 17:06:28.055862{'Count': 74, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 17:27:15.935677{'Count': 75, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 17:48:01.755949{'Count': 76, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 18:08:48.159778{'Count': 77, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 18:29:35.958198{'Count': 78, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 18:50:24.541530{'Count': 79, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 19:11:11.466584{'Count': 80, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
